Flight No.,Date andtime (UTC),"Version,Booster [b]",Launch site,Payload[c],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,1,2,3,4,5,6,7,Payload,Launch outcome,Version Booster,Booster landing,Date,Time
37,,,KSC,,"9,600 kg",LEO,Iridium Communications,,,,,,,,,,Iridium NEXT,"Success
",<function booster_version at 0x00000229A6C94680>,Not attempted,23 June 2017,19:10
38,,,VAFB,,"6,761 kg",GTO,Intelsat,,,,,,,,,,Intelsat 35e,"Success
",<function booster_version at 0x00000229A6C94680>,Success,25 June 2017,20:25
39,,,KSC,,"3,310 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-12,"Success
",<function booster_version at 0x00000229A6C94680>,Success,5 July 2017,23:38
40,,,KSC,,475 kg,SSO,NSPO,,,,,,,,,,Formosat-5,"Success
",<function booster_version at 0x00000229A6C94680>,Success,14 August 2017,16:31
41,,,VAFB,,"4,990 kg",LEO,USAF,,,,,,,,,,Boeing X-37B,"Success
",<function booster_version at 0x00000229A6C94680>,Success,24 August 2017,18:51
42,,,KSC,,"9,600 kg",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,"Success
",<function booster_version at 0x00000229A6C94680>,Success,7 September 2017,14:00
43,,,VAFB,,"5,200 kg",GTO,SES S.A.,,,,,,,,,,SES-11,"Success
",<function booster_version at 0x00000229A6C94680>,Success,9 October 2017,12:37
44,,,KSC,,"3,500 kg",GTO,KT Corporation,,,,,,,,,,Koreasat 5A,"Success
",<function booster_version at 0x00000229A6C94680>,Success,11 October 2017,22:53:00
45,,,KSC,,"2,205 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-13,Success,<function booster_version at 0x00000229A6C94680>,Controlled,30 October 2017,19:34
46,,,Cape Canaveral,,"9,600 kg",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,Success,<function booster_version at 0x00000229A6C94680>,Success,15 December 2017,15:36
47,,,VAFB,,C,LEO,Northrop Grumman,,,,,,,,,,Zuma,Success,<function booster_version at 0x00000229A6C94680>,Controlled,23 December 2017,01:27
48,,,CCAFS,,"4,230 kg",GTO,SES,,,,,,,,,,GovSat-1,Success,<function booster_version at 0x00000229A6C94680>,Not attempted,8 January 2018,01:00
49,,,CCAFS,,"2,150 kg",SSO,Hisdesat,,,,,,,,,,Paz,Success,<function booster_version at 0x00000229A6C94680>,No attempt,31 January 2018,21:25
50,,,VAFB,,"6,092 kg",GTO,Hispasat,,,,,,,,,,Hispasat 30W-6,Success,<function booster_version at 0x00000229A6C94680>,No attempt,22 February 2018,14:17
51,,,CCAFS,,"9,600 kg",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,Success,<function booster_version at 0x00000229A6C94680>,Not attempted,6 March 2018,05:33
52,,,VAFB,,"2,647 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-14,Success,<function booster_version at 0x00000229A6C94680>,Success,30 March 2018,14:14
53,,,CCAFS,,362 kg,HEO,NASA,,,,,,,,,,Transiting Exoplanet Survey Satellite,Success,<function booster_version at 0x00000229A6C94680>,Success,2 April 2018,20:30
54,,,CCAFS,,"3,600 kg",GTO,Thales-Alenia,,,,,,,,,,Bangabandhu-1,Success,<function booster_version at 0x00000229A6C94680>,Not attempted,18 April 2018,22:51
55,,,KSC,,"6,460 kg",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,Success,<function booster_version at 0x00000229A6C94680>,Not attempted,11 May 2018,20:14
56,,,VAFB,,"5,384 kg",GTO,SES,,,,,,,,,,SES-12,Success,<function booster_version at 0x00000229A6C94680>,Not attempted,22 May 2018,19:47
57,,,CCAFS,,"2,697 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-15,Success,<function booster_version at 0x00000229A6C94680>,Success,4 June 2018,04:45
58,,,CCAFS,,"7,075 kg",GTO,Telesat,,,,,,,,,,Telstar 19V,Success,<function booster_version at 0x00000229A6C94680>,Success,29 June 2018,09:42
59,,,CCAFS,,"9,600 kg",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,Success,<function booster_version at 0x00000229A6C94680>,Success,22 July 2018,05:50
60,,,VAFB,,"5,800 kg",GTO,Telkom Indonesia,,,,,,,,,,Merah Putih,Success,<function booster_version at 0x00000229A6C94680>,Success,25 July 2018,11:39
61,,,CCAFS,,"7,060 kg",GTO,Telesat,,,,,,,,,,Telstar 18V,Success,<function booster_version at 0x00000229A6C94680>,Success,7 August 2018,05:18
62,,,CCAFS,,"3,000 kg",SSO,CONAE,,,,,,,,,,SAOCOM 1A,Success,<function booster_version at 0x00000229A6C94680>,Success,10 September 2018,04:45
63,,,VAFB,,"5,300 kg",GTO,Es'hailSat,,,,,,,,,,Es'hail 2,Success,<function booster_version at 0x00000229A6C94680>,Success,8 October 2018,02:22
64,,,KSC,,"~4,000 kg",SSO,Spaceflight Industries,,,,,,,,,,SSO-A,"Success
",<function booster_version at 0x00000229A6C94680>,Failure,15 November 2018,20:46
65,,,VAFB,,"2,500 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-16,Success,<function booster_version at 0x00000229A6C94680>,Not attempted,3 December 2018,18:34:05
66,,,CCAFS,,"4,400 kg",MEO,USAF,,,,,,,,,,GPS III,"Success
",<function booster_version at 0x00000229A6C94680>,Success,5 December 2018,18:16
67,,,CCAFS,,"9,600 kg",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,"Success
",<function booster_version at 0x00000229A6C94680>,Success,23 December 2018,13:51
68,,,VAFB,,"4,850 kg",GTO,PSN,,,,,,,,,,Nusantara Satu,"Success
",<function booster_version at 0x00000229A6C94680>,Success,11 January 2019,15:31
69,,,CCAFS,,"12,055 kg",LEO,NASA,,,,,,,,,,Crew Dragon Demo-1,"Success
",<function booster_version at 0x00000229A6C94680>,Success,22 February 2019,01:45
70,,,KSC,,"2,495 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-17,"Success
",<function booster_version at 0x00000229A6C94680>,Success,2 March 2019,07:49
71,,,CCAFS,,"13,620 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",<function booster_version at 0x00000229A6C94680>,Success,4 May 2019,06:48
72,,,CCAFS,,"4,200 kg",SSO,Canadian Space Agency,,,,,,,,,,RADARSAT Constellation,"Success
",<function booster_version at 0x00000229A6C94680>,Success,24 May 2019,02:30
73,,,VAFB,,"2,268 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-18,"Success
",<function booster_version at 0x00000229A6C94680>,Not attempted,12 June 2019,14:17
74,,,CCAFS,,"6,500 kg",GTO,Spacecom,,,,,,,,,,AMOS-17,"Success
",<function booster_version at 0x00000229A6C94680>,Success,25 July 2019,22:01
75,,,CCAFS,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",<function booster_version at 0x00000229A6C94680>,Success,6 August 2019,23:23
76,,,CCAFS,,"2,617 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-19,"Success
",<function booster_version at 0x00000229A6C94680>,Success,11 November 2019,14:56
77,,,CCAFS,,"6,956 kg",GTO,Sky Perfect JSAT,,,,,,,,,,JCSat-18,"Success
",<function booster_version at 0x00000229A6C94680>,Success,5 December 2019,17:29
78,,,CCAFS,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",<function booster_version at 0x00000229A6C94680>,"Not attempted
",17 December 2019,00:10
79,,,CCAFS,,"12,050 kg",Sub-orbital,NASA,,,,,,,,,,Crew Dragon in-flight abort test,"Success
",<function booster_version at 0x00000229A6C94680>,Success,7 January 2020,02:19:21
80,,,KSC,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",<function booster_version at 0x00000229A6C94680>,Failure,19 January 2020,15:30
81,,,CCAFS,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",<function booster_version at 0x00000229A6C94680>,Success,29 January 2020,14:07
82,,,CCAFS,,"1,977 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-20,"Success
",<function booster_version at 0x00000229A6C94680>,Failure,17 February 2020,15:05
83,,,CCAFS,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",<function booster_version at 0x00000229A6C94680>,Success,7 March 2020,04:50
84,,,KSC,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",<function booster_version at 0x00000229A6C94680>,Success,18 March 2020,12:16
85,,,KSC,,"12,530 kg",LEO,NASA,,,,,,,,,,Crew Dragon Demo-2,"Success
",<function booster_version at 0x00000229A6C94680>,Success,22 April 2020,19:30
86,,,KSC,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",<function booster_version at 0x00000229A6C94680>,Success,30 May 2020,19:22
87,,,CCAFS,,"15,410 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",<function booster_version at 0x00000229A6C94680>,Success,4 June 2020,01:25
88,,,CCAFS,,"4,311 kg",MEO,U.S. Space Force,,,,,,,,,,GPS III,"Success
",<function booster_version at 0x00000229A6C94680>,Success,13 June 2020,09:21
89,,,CCAFS,,"5,000–6,000 kg",GTO,Republic of Korea Army,,,,,,,,,,ANASIS-II,"Success
",<function booster_version at 0x00000229A6C94680>,Success,30 June 2020,20:10:46
90,,,CCAFS,,"14,932 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",<function booster_version at 0x00000229A6C94680>,Success,20 July 2020,21:30
91,,,KSC,,"~15,440 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",<function booster_version at 0x00000229A6C94680>,Success,7 August 2020,05:12
92,,,CCAFS,,"3,130 kg",SSO,CONAE,,,,,,,,,,SAOCOM 1B,"Success
",<function booster_version at 0x00000229A6C94680>,Success,18 August 2020,14:31
93,,,CCAFS,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",<function booster_version at 0x00000229A6C94680>,Success,30 August 2020,23:18
94,,,KSC,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",<function booster_version at 0x00000229A6C94680>,Success,3 September 2020,12:46:14
95,,,KSC,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",<function booster_version at 0x00000229A6C94680>,Success,6 October 2020,11:29:34
96,,,KSC,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",<function booster_version at 0x00000229A6C94680>,Success,18 October 2020,12:25:57
97,,,CCAFS,,"4,311 kg",MEO,USSF,,,,,,,,,,GPS III,"Success
",<function booster_version at 0x00000229A6C94680>,Success,24 October 2020,15:31:34
98,,,CCAFS,,"~12,500 kg",LEO,NASA,,,,,,,,,,Crew-1,"Success
",<function booster_version at 0x00000229A6C94680>,Success,5 November 2020,23:24:23
99,,,KSC,,"1,192 kg",LEO,NASA,,,,,,,,,,Sentinel-6 Michael Freilich (Jason-CS A),"Success
",<function booster_version at 0x00000229A6C94680>,Success,16 November 2020,00:27
100,,,VAFB,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",<function booster_version at 0x00000229A6C94680>,Success,21 November 2020,17:17:08
101,,,CCAFS,,"2,972 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-21,"Success
",<function booster_version at 0x00000229A6C94680>,Success,25 November 2020,02:13
102,,,KSC,,"7,000 kg",GTO,Sirius XM,,,,,,,,,,SXM-7,"Success
",<function booster_version at 0x00000229A6C94680>,Success,6 December 2020,16:17:08
103,,,CCSFS,,C,LEO,NRO,,,,,,,,,,NROL-108,"Success
",<function booster_version at 0x00000229A6C94680>,Success,13 December 2020,17:30:00
104,,,KSC,,"3,500 kg",GTO,Türksat,,,,,,,,,,Türksat 5A,"Success
",<function booster_version at 0x00000229A6C94680>,Success,19 December 2020,14:00:00
105,,,CCSFS,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",<function booster_version at 0x00000229A6C94680>,Failure,8 January 2021,02:15
106,,,KSC,,"~5,000 kg",SSO,SpaceX,,,,,,,,,,Transporter-1,Success,<function booster_version at 0x00000229A6C94680>,Failure,20 January 2021,13:02
1,,,CCSFS,,0,LEO,SpaceX,,,,,,,,,,Dragon Spacecraft Qualification Unit,Success,<function booster_version at 0x00000229A6C94680>,"Not attempted
",24 January 2021,15:00
2,,,CCAFS,,0,LEO,NASA,,,,,,,,,,Dragon,"Success
",<function booster_version at 0x00000229A6C94680>,No attempt,4 June 2010,18:45
3,,,CCAFS,,525 kg,LEO,NASA,,,,,,,,,,Dragon,"Success
",<function booster_version at 0x00000229A6C94680>,"Not attempted
",8 December 2010,15:43
4,,,CCAFS,,"4,700 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-1,Success,<function booster_version at 0x00000229A6C94680>,Uncontrolled,22 May 2012,07:44
5,,,CCAFS,,"4,877 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-2,Success,<function booster_version at 0x00000229A6C94680>,Not attempted,8 October 2012,00:35
6,,,CCAFS,,500 kg,Polar orbit,MDA,,,,,,,,,,CASSIOPE,Success,<function booster_version at 0x00000229A6C94680>,Not attempted,1 March 2013,15:10
7,,,VAFB,,"3,170 kg",GTO,SES,,,,,,,,,,SES-8,"Success
",<function booster_version at 0x00000229A6C94680>,Controlled,29 September 2013,16:00
8,,,CCAFS,,"3,325 kg",GTO,Thaicom,,,,,,,,,,Thaicom 6,Success,<function booster_version at 0x00000229A6C94680>,Controlled,3 December 2013,22:41
9,,,CCAFS,,"2,296 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-3,Success,<function booster_version at 0x00000229A6C94680>,Not attempted,6 January 2014,22:06
10,,,Cape Canaveral,,"1,316 kg",LEO,Orbcomm,,,,,,,,,,Orbcomm-OG2,Success,<function booster_version at 0x00000229A6C94680>,"Not attempted
",18 April 2014,19:25
11,,,Cape Canaveral,,"4,535 kg",GTO,AsiaSat,,,,,,,,,,AsiaSat 8,Success,<function booster_version at 0x00000229A6C94680>,Uncontrolled,14 July 2014,15:15
12,,,Cape Canaveral,,"4,428 kg",GTO,AsiaSat,,,,,,,,,,AsiaSat 6,Success,<function booster_version at 0x00000229A6C94680>,Failure ,5 August 2014,08:00
13,,,Cape Canaveral,,"2,216 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-4,"Success
",<function booster_version at 0x00000229A6C94680>,Controlled,7 September 2014,05:00
14,,,Cape Canaveral,,"2,395 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-5,"Success
",<function booster_version at 0x00000229A6C94680>,Not attempted,21 September 2014,05:52
15,,,Cape Canaveral,,570 kg,HEO,USAF,,,,,,,,,,DSCOVR,"Success
",<function booster_version at 0x00000229A6C94680>,Failure,10 January 2015,09:47
16,,,Cape Canaveral,,"4,159 kg",GTO,ABS,,,,,,,,,,ABS-3A,"Success
",<function booster_version at 0x00000229A6C94680>,Not attempted,11 February 2015,23:03
17,,,Cape Canaveral,,"1,898 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-6,Failure,<function booster_version at 0x00000229A6C94680>,Precluded,2 March 2015,03:50
18,,,Cape Canaveral,,"4,707 kg",GTO,,,,,,,,,,,TürkmenÄlem 52°E / MonacoSAT,"Success
",<function booster_version at 0x00000229A6C94680>,Success,14 April 2015,20:10
19,,,Cape Canaveral,,"1,952 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-7,"Success
",<function booster_version at 0x00000229A6C94680>,Failure,27 April 2015,23:03
20,,,Cape Canaveral,,"2,034 kg",LEO,Orbcomm,,,,,,,,,,Orbcomm-OG2,"Success
",<function booster_version at 0x00000229A6C94680>,Failure,28 June 2015,14:21
21,,,Cape Canaveral,,553 kg,LEO,NASA,,,,,,,,,,Jason-3,Success,<function booster_version at 0x00000229A6C94680>,Success,22 December 2015,01:29
22,,,VAFB,,"5,271 kg",GTO,SES,,,,,,,,,,SES-9,"Success
",<function booster_version at 0x00000229A6C94680>,Success,17 January 2016,18:42
23,,,Cape Canaveral,,"3,136 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-8,"Success
",<function booster_version at 0x00000229A6C94680>,Success,4 March 2016,23:35
24,,,Cape Canaveral,,"4,696 kg",GTO,SKY Perfect JSAT Group,,,,,,,,,,JCSAT-14,"Success
",<function booster_version at 0x00000229A6C94680>,Failure,8 April 2016,20:43
25,,,Cape Canaveral,,"3,100 kg",GTO,Thaicom,,,,,,,,,,Thaicom 8,"Success
",<function booster_version at 0x00000229A6C94680>,Success,6 May 2016,05:21
26,,,Cape Canaveral,,"3,600 kg",GTO,ABS,,,,,,,,,,ABS-2A,"Success
",<function booster_version at 0x00000229A6C94680>,Success,27 May 2016,21:39
27,,,Cape Canaveral,,"2,257 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-9,"Success
",<function booster_version at 0x00000229A6C94680>,Success,15 June 2016,14:29
28,,,Cape Canaveral,,"4,600 kg",GTO,SKY Perfect JSAT Group,,,,,,,,,,JCSAT-16,"Success
",<function booster_version at 0x00000229A6C94680>,Success,18 July 2016,04:45
29,,,Cape Canaveral,,"9,600 kg",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,"Success
",<function booster_version at 0x00000229A6C94680>,Not attempted,14 August 2016,05:26
30,,,VAFB,,"2,490 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-10,Success,<function booster_version at 0x00000229A6C94680>,Success,14 January 2017,17:54
31,,,KSC,,"5,600 kg",GTO,EchoStar,,,,,,,,,,EchoStar 23,"Success
",<function booster_version at 0x00000229A6C94680>,Success,19 February 2017,14:39
32,,,KSC,,"5,300 kg",GTO,SES,,,,,,,,,,SES-10,"Success
",<function booster_version at 0x00000229A6C94680>,Not attempted,16 March 2017,06:00
33,,,KSC,,C,LEO,NRO,,,,,,,,,,NROL-76,"Success
",<function booster_version at 0x00000229A6C94680>,Success,30 March 2017,22:27
34,,,KSC,,"6,070 kg",GTO,Inmarsat,,,,,,,,,,Inmarsat-5 F4,"Success
",<function booster_version at 0x00000229A6C94680>,Success,1 May 2017,11:15
35,,,KSC,,"2,708 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-11,"Success
",<function booster_version at 0x00000229A6C94680>,Success,15 May 2017,23:21
36,,,KSC,,"3,669 kg",GTO,Bulsatcom,,,,,,,,,,BulgariaSat-1,"Success
",<function booster_version at 0x00000229A6C94680>,Not attempted,3 June 2017,21:07
37,,,KSC,,"9,600 kg",LEO,Iridium Communications,,,,,,,,,,Iridium NEXT,"Success
",<function booster_version at 0x00000229A6C94680>,Success,23 June 2017,19:10
38,,,VAFB,,"6,761 kg",GTO,Intelsat,,,,,,,,,,Intelsat 35e,"Success
",<function booster_version at 0x00000229A6C94680>,Success,25 June 2017,20:25
39,,,KSC,,"3,310 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-12,"Success
",<function booster_version at 0x00000229A6C94680>,Success,5 July 2017,23:38
40,,,KSC,,475 kg,SSO,NSPO,,,,,,,,,,Formosat-5,"Success
",<function booster_version at 0x00000229A6C94680>,Success,14 August 2017,16:31
41,,,VAFB,,"4,990 kg",LEO,USAF,,,,,,,,,,Boeing X-37B,"Success
",<function booster_version at 0x00000229A6C94680>,Success,24 August 2017,18:51
42,,,KSC,,"9,600 kg",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,"Success
",<function booster_version at 0x00000229A6C94680>,Success,7 September 2017,14:00
43,,,VAFB,,"5,200 kg",GTO,SES S.A.,,,,,,,,,,SES-11,"Success
",<function booster_version at 0x00000229A6C94680>,Success,9 October 2017,12:37
44,,,KSC,,"3,500 kg",GTO,KT Corporation,,,,,,,,,,Koreasat 5A,Success,<function booster_version at 0x00000229A6C94680>,Controlled,11 October 2017,22:53:00
45,,,KSC,,"2,205 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-13,Success,<function booster_version at 0x00000229A6C94680>,Success,30 October 2017,19:34
46,,,Cape Canaveral,,"9,600 kg",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,Success,<function booster_version at 0x00000229A6C94680>,Controlled,15 December 2017,15:36
47,,,VAFB,,C,LEO,Northrop Grumman,,,,,,,,,,Zuma,Success,<function booster_version at 0x00000229A6C94680>,Not attempted,23 December 2017,01:27
48,,,CCAFS,,"4,230 kg",GTO,SES,,,,,,,,,,GovSat-1,Success,<function booster_version at 0x00000229A6C94680>,No attempt,8 January 2018,01:00
49,,,CCAFS,,"2,150 kg",SSO,Hisdesat,,,,,,,,,,Paz,Success,<function booster_version at 0x00000229A6C94680>,No attempt,31 January 2018,21:25
50,,,VAFB,,"6,092 kg",GTO,Hispasat,,,,,,,,,,Hispasat 30W-6,Success,<function booster_version at 0x00000229A6C94680>,Not attempted,22 February 2018,14:17
51,,,CCAFS,,"9,600 kg",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,Success,<function booster_version at 0x00000229A6C94680>,Success,6 March 2018,05:33
52,,,VAFB,,"2,647 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-14,Success,<function booster_version at 0x00000229A6C94680>,Success,30 March 2018,14:14
53,,,CCAFS,,362 kg,HEO,NASA,,,,,,,,,,Transiting Exoplanet Survey Satellite,Success,<function booster_version at 0x00000229A6C94680>,Not attempted,2 April 2018,20:30
54,,,CCAFS,,"3,600 kg",GTO,Thales-Alenia,,,,,,,,,,Bangabandhu-1,Success,<function booster_version at 0x00000229A6C94680>,Not attempted,18 April 2018,22:51
55,,,KSC,,"6,460 kg",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,Success,<function booster_version at 0x00000229A6C94680>,Not attempted,11 May 2018,20:14
56,,,VAFB,,"5,384 kg",GTO,SES,,,,,,,,,,SES-12,Success,<function booster_version at 0x00000229A6C94680>,Success,22 May 2018,19:47
57,,,CCAFS,,"2,697 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-15,Success,<function booster_version at 0x00000229A6C94680>,Success,4 June 2018,04:45
58,,,CCAFS,,"7,075 kg",GTO,Telesat,,,,,,,,,,Telstar 19V,Success,<function booster_version at 0x00000229A6C94680>,Success,29 June 2018,09:42
59,,,CCAFS,,"9,600 kg",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,Success,<function booster_version at 0x00000229A6C94680>,Success,22 July 2018,05:50
60,,,VAFB,,"5,800 kg",GTO,Telkom Indonesia,,,,,,,,,,Merah Putih,Success,<function booster_version at 0x00000229A6C94680>,Success,25 July 2018,11:39
61,,,CCAFS,,"7,060 kg",GTO,Telesat,,,,,,,,,,Telstar 18V,Success,<function booster_version at 0x00000229A6C94680>,Success,7 August 2018,05:18
62,,,CCAFS,,"3,000 kg",SSO,CONAE,,,,,,,,,,SAOCOM 1A,Success,<function booster_version at 0x00000229A6C94680>,Success,10 September 2018,04:45
63,,,VAFB,,"5,300 kg",GTO,Es'hailSat,,,,,,,,,,Es'hail 2,"Success
",<function booster_version at 0x00000229A6C94680>,Failure,8 October 2018,02:22
64,,,KSC,,"~4,000 kg",SSO,Spaceflight Industries,,,,,,,,,,SSO-A,Success,<function booster_version at 0x00000229A6C94680>,Not attempted,15 November 2018,20:46
65,,,VAFB,,"2,500 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-16,"Success
",<function booster_version at 0x00000229A6C94680>,Success,3 December 2018,18:34:05
66,,,CCAFS,,"4,400 kg",MEO,USAF,,,,,,,,,,GPS III,"Success
",<function booster_version at 0x00000229A6C94680>,Success,5 December 2018,18:16
67,,,CCAFS,,"9,600 kg",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,"Success
",<function booster_version at 0x00000229A6C94680>,Success,23 December 2018,13:51
68,,,VAFB,,"4,850 kg",GTO,PSN,,,,,,,,,,Nusantara Satu,"Success
",<function booster_version at 0x00000229A6C94680>,Success,11 January 2019,15:31
69,,,CCAFS,,"12,055 kg",LEO,NASA,,,,,,,,,,Crew Dragon Demo-1,"Success
",<function booster_version at 0x00000229A6C94680>,Success,22 February 2019,01:45
70,,,KSC,,"2,495 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-17,"Success
",<function booster_version at 0x00000229A6C94680>,Success,2 March 2019,07:49
71,,,CCAFS,,"13,620 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",<function booster_version at 0x00000229A6C94680>,Success,4 May 2019,06:48
72,,,CCAFS,,"4,200 kg",SSO,Canadian Space Agency,,,,,,,,,,RADARSAT Constellation,"Success
",<function booster_version at 0x00000229A6C94680>,Not attempted,24 May 2019,02:30
73,,,VAFB,,"2,268 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-18,"Success
",<function booster_version at 0x00000229A6C94680>,Success,12 June 2019,14:17
74,,,CCAFS,,"6,500 kg",GTO,Spacecom,,,,,,,,,,AMOS-17,"Success
",<function booster_version at 0x00000229A6C94680>,Success,25 July 2019,22:01
75,,,CCAFS,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",<function booster_version at 0x00000229A6C94680>,Success,6 August 2019,23:23
