Flight No.,Date andtime (UTC),"Version,Booster [b]",Launch site,Payload[c],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,1,2,3,4,5,6,7,Payload,Launch outcome,Version Booster,Booster landing,Date,Time
58,,,CCAFS,,"9,600 kg",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,Success,F9 B5,Success,29 June 2018,05:50
59,,,VAFB,,"5,800 kg",GTO,Telkom Indonesia,,,,,,,,,,Merah Putih,Success,F9 B5B1048,Success,22 July 2018,11:39
60,,,CCAFS,,"7,060 kg",GTO,Telesat,,,,,,,,,,Telstar 18V,Success,F9 B5B1046.2,Success,25 July 2018,05:18
61,,,CCAFS,,"3,000 kg",SSO,CONAE,,,,,,,,,,SAOCOM 1A,"Success
",F9 B5,Failure,7 August 2018,04:45
62,,,VAFB,,"5,300 kg",GTO,Es'hailSat,,,,,,,,,,Es'hail 2,Success,F9 B5B1048.2,Not attempted,10 September 2018,02:22
63,,,KSC,,"~4,000 kg",SSO,Spaceflight Industries,,,,,,,,,,SSO-A,"Success
",F9 B5B1047.2,Success,8 October 2018,20:46
64,,,VAFB,,"2,500 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-16,"Success
",F9 B5B1046.3,Success,15 November 2018,18:34:05
65,,,CCAFS,,"4,400 kg",MEO,USAF,,,,,,,,,,GPS III,"Success
",F9 B5,Success,3 December 2018,18:16
66,,,CCAFS,,"9,600 kg",Polar,Iridium Communications,,,,,,,,,,Iridium NEXT,"Success
",F9 B5,Success,5 December 2018,13:51
67,,,VAFB,,"4,850 kg",GTO,PSN,,,,,,,,,,Nusantara Satu,"Success
",F9 B5B1049.2,Success,23 December 2018,15:31
68,,,CCAFS,,"12,055 kg",LEO,NASA,,,,,,,,,,Crew Dragon Demo-1,"Success
",F9 B5B1048.3,Success,11 January 2019,01:45
69,,,KSC,,"2,495 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-17,"Success
",F9 B5[268],Success,22 February 2019,07:49
70,,,CCAFS,,"13,620 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5,Not attempted,2 March 2019,06:48
71,,,CCAFS,,"4,200 kg",SSO,Canadian Space Agency,,,,,,,,,,RADARSAT Constellation,"Success
",F9 B5B1049.3,Success,4 May 2019,02:30
72,,,VAFB,,"2,268 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-18,"Success
",F9 B5B1051.2,Success,24 May 2019,14:17
73,,,CCAFS,,"6,500 kg",GTO,Spacecom,,,,,,,,,,AMOS-17,"Success
",F9 B5B1056.2,Success,12 June 2019,22:01
74,,,CCAFS,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5B1047.3,Success,25 July 2019,23:23
75,,,CCAFS,,"2,617 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-19,"Success
",F9 B5,"Not attempted
",6 August 2019,14:56
76,,,CCAFS,,"6,956 kg",GTO,Sky Perfect JSAT,,,,,,,,,,JCSat-18,"Success
",F9 B5,Success,11 November 2019,17:29
77,,,CCAFS,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5B1056.3,Failure,5 December 2019,00:10
78,,,CCAFS,,"12,050 kg",Sub-orbital,NASA,,,,,,,,,,Crew Dragon in-flight abort test,"Success
",F9 B5,Success,17 December 2019,02:19:21
79,,,KSC,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5,Failure,7 January 2020,15:30
80,,,CCAFS,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5,Success,19 January 2020,14:07
81,,,CCAFS,,"1,977 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-20,"Success
",F9 B5,Success,29 January 2020,15:05
82,,,CCAFS,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5,Success,17 February 2020,04:50
83,,,KSC,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5,Success,7 March 2020,12:16
84,,,KSC,,"12,530 kg",LEO,NASA,,,,,,,,,,Crew Dragon Demo-2,"Success
",F9 B5,Success,18 March 2020,19:30
85,,,KSC,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5,Success,22 April 2020,19:22
86,,,CCAFS,,"15,410 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5,Success,30 May 2020,01:25
87,,,CCAFS,,"4,311 kg",MEO,U.S. Space Force,,,,,,,,,,GPS III,"Success
",F9 B5,Success,4 June 2020,09:21
88,,,CCAFS,,"5,000–6,000 kg",GTO,Republic of Korea Army,,,,,,,,,,ANASIS-II,"Success
",F9 B5,Success,13 June 2020,20:10:46
89,,,CCAFS,,"14,932 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5B1058.2,Success,30 June 2020,21:30
90,,,KSC,,"~15,440 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5,Success,20 July 2020,05:12
91,,,CCAFS,,"3,130 kg",SSO,CONAE,,,,,,,,,,SAOCOM 1B,"Success
",F9 B5B1049.6,Success,7 August 2020,14:31
92,,,CCAFS,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5,Success,18 August 2020,23:18
93,,,KSC,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5B1060.2,Success,30 August 2020,12:46:14
94,,,KSC,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5B1058.3,Success,3 September 2020,11:29:34
95,,,KSC,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5B1051.6,Success,6 October 2020,12:25:57
96,,,CCAFS,,"4,311 kg",MEO,USSF,,,,,,,,,,GPS III,"Success
",F9 B5,Success,18 October 2020,15:31:34
97,,,CCAFS,,"~12,500 kg",LEO,NASA,,,,,,,,,,Crew-1,"Success
",F9 B5,Success,24 October 2020,23:24:23
98,,,KSC,,"1,192 kg",LEO,NASA,,,,,,,,,,Sentinel-6 Michael Freilich (Jason-CS A),"Success
",F9 B5,Success,5 November 2020,00:27
99,,,VAFB,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5,Success,16 November 2020,17:17:08
100,,,CCAFS,,"2,972 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-21,"Success
",F9 B5 ♺,Success,21 November 2020,02:13
101,,,KSC,,"7,000 kg",GTO,Sirius XM,,,,,,,,,,SXM-7,"Success
",F9 B5 ♺,Success,25 November 2020,16:17:08
102,,,CCSFS,,C,LEO,NRO,,,,,,,,,,NROL-108,"Success
",F9 B5 ♺,Success,6 December 2020,17:30:00
103,,,KSC,,"3,500 kg",GTO,Türksat,,,,,,,,,,Türksat 5A,"Success
",F9 B5 ♺,Success,13 December 2020,14:00:00
104,,,CCSFS,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5,Failure,19 December 2020,02:15
105,,,KSC,,"~5,000 kg",SSO,,,,,,,,,,,Transporter-1,"Success
",F9 B5B1051.8,Success,8 January 2021,13:02
106,,,CCSFS,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5B1058.5,Success,20 January 2021,15:00
1,,,CCSFS,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺,Success,4 June 2010,06:19
2,,,CCSFS,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺,Success,8 December 2010,03:59:37
3,,,KSC,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺,Success,22 May 2012,08:24
4,,,CCSFS,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺,Success,8 October 2012,08:13:29
5,,,KSC,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺,Success,1 March 2013,10:01
6,,,CCSFS,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5B1060.6,Success,29 September 2013,08:28
7,,,CCSFS,,"~13,000 kg",LEO,NASA,,,,,,,,,,Crew-2,"Success
",F9 B5 ♺,Success,3 December 2013,16:34
8,,,KSC,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5B1061.2,Success,6 January 2014,9:49
9,,,CCSFS,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5B1060.7,Success,18 April 2014,03:44
10,,,KSC,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5B1049.9,Success,14 July 2014,19:01
11,,,CCSFS,,"~14,000 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5B1051.10,Success,5 August 2014,06:42
12,,,KSC,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,,F9 B5B1058.8,,7 September 2014,22:56
13,,,CCSFS,,"3,328 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-22,,F9 B5B1063.2,,21 September 2014,18:59
14,,,KSC,,"7,000 kg",GTO,Sirius XM,,,,,,,,,,SXM-8,,F9 B5B1067.1,,10 January 2015,17:29
15,,,CCSFS,,,,,,,,,,,,,,,,F9 B5,,11 February 2015,04:26
16,,,,,,,,,,,,,,,,,,,,,2 March 2015,
17,,,,,,,,,,,,,,,,,,,,,14 April 2015,
18,,,,,,,,,,,,,,,,,,,,,27 April 2015,
19,,,,,,,,,,,,,,,,,,,,,28 June 2015,
20,,,,,,,,,,,,,,,,,,,,,22 December 2015,
21,,,,,,,,,,,,,,,,,,,,,17 January 2016,
22,,,,,,,,,,,,,,,,,,,,,4 March 2016,
23,,,,,,,,,,,,,,,,,,,,,8 April 2016,
24,,,,,,,,,,,,,,,,,,,,,6 May 2016,
25,,,,,,,,,,,,,,,,,,,,,27 May 2016,
26,,,,,,,,,,,,,,,,,,,,,15 June 2016,
27,,,,,,,,,,,,,,,,,,,,,18 July 2016,
28,,,,,,,,,,,,,,,,,,,,,14 August 2016,
29,,,,,,,,,,,,,,,,,,,,,14 January 2017,
30,,,,,,,,,,,,,,,,,,,,,19 February 2017,
31,,,,,,,,,,,,,,,,,,,,,16 March 2017,
32,,,,,,,,,,,,,,,,,,,,,30 March 2017,
33,,,,,,,,,,,,,,,,,,,,,1 May 2017,
34,,,,,,,,,,,,,,,,,,,,,15 May 2017,
35,,,,,,,,,,,,,,,,,,,,,3 June 2017,
36,,,,,,,,,,,,,,,,,,,,,23 June 2017,
37,,,,,,,,,,,,,,,,,,,,,25 June 2017,
38,,,,,,,,,,,,,,,,,,,,,5 July 2017,
39,,,,,,,,,,,,,,,,,,,,,14 August 2017,
40,,,,,,,,,,,,,,,,,,,,,24 August 2017,
41,,,,,,,,,,,,,,,,,,,,,7 September 2017,
42,,,,,,,,,,,,,,,,,,,,,9 October 2017,
43,,,,,,,,,,,,,,,,,,,,,11 October 2017,
44,,,,,,,,,,,,,,,,,,,,,30 October 2017,
45,,,,,,,,,,,,,,,,,,,,,15 December 2017,
46,,,,,,,,,,,,,,,,,,,,,23 December 2017,
47,,,,,,,,,,,,,,,,,,,,,8 January 2018,
48,,,,,,,,,,,,,,,,,,,,,31 January 2018,
49,,,,,,,,,,,,,,,,,,,,,22 February 2018,
50,,,,,,,,,,,,,,,,,,,,,6 March 2018,
51,,,,,,,,,,,,,,,,,,,,,30 March 2018,
52,,,,,,,,,,,,,,,,,,,,,2 April 2018,
53,,,,,,,,,,,,,,,,,,,,,18 April 2018,
54,,,,,,,,,,,,,,,,,,,,,11 May 2018,
55,,,,,,,,,,,,,,,,,,,,,22 May 2018,
56,,,,,,,,,,,,,,,,,,,,,4 June 2018,
57,,,,,,,,,,,,,,,,,,,,,29 June 2018,
58,,,,,,,,,,,,,,,,,,,,,22 July 2018,
59,,,,,,,,,,,,,,,,,,,,,25 July 2018,
60,,,,,,,,,,,,,,,,,,,,,7 August 2018,
61,,,,,,,,,,,,,,,,,,,,,10 September 2018,
62,,,,,,,,,,,,,,,,,,,,,8 October 2018,
63,,,,,,,,,,,,,,,,,,,,,15 November 2018,
64,,,,,,,,,,,,,,,,,,,,,3 December 2018,
65,,,,,,,,,,,,,,,,,,,,,5 December 2018,
66,,,,,,,,,,,,,,,,,,,,,23 December 2018,
67,,,,,,,,,,,,,,,,,,,,,11 January 2019,
68,,,,,,,,,,,,,,,,,,,,,22 February 2019,
69,,,,,,,,,,,,,,,,,,,,,2 March 2019,
70,,,,,,,,,,,,,,,,,,,,,4 May 2019,
71,,,,,,,,,,,,,,,,,,,,,24 May 2019,
72,,,,,,,,,,,,,,,,,,,,,12 June 2019,
73,,,,,,,,,,,,,,,,,,,,,25 July 2019,
74,,,,,,,,,,,,,,,,,,,,,6 August 2019,
75,,,,,,,,,,,,,,,,,,,,,11 November 2019,
76,,,,,,,,,,,,,,,,,,,,,5 December 2019,
77,,,,,,,,,,,,,,,,,,,,,17 December 2019,
78,,,,,,,,,,,,,,,,,,,,,7 January 2020,
79,,,,,,,,,,,,,,,,,,,,,19 January 2020,
80,,,,,,,,,,,,,,,,,,,,,29 January 2020,
81,,,,,,,,,,,,,,,,,,,,,17 February 2020,
82,,,,,,,,,,,,,,,,,,,,,7 March 2020,
83,,,,,,,,,,,,,,,,,,,,,18 March 2020,
84,,,,,,,,,,,,,,,,,,,,,22 April 2020,
85,,,,,,,,,,,,,,,,,,,,,30 May 2020,
86,,,,,,,,,,,,,,,,,,,,,4 June 2020,
87,,,,,,,,,,,,,,,,,,,,,13 June 2020,
88,,,,,,,,,,,,,,,,,,,,,30 June 2020,
89,,,,,,,,,,,,,,,,,,,,,20 July 2020,
90,,,,,,,,,,,,,,,,,,,,,7 August 2020,
91,,,,,,,,,,,,,,,,,,,,,18 August 2020,
92,,,,,,,,,,,,,,,,,,,,,30 August 2020,
93,,,,,,,,,,,,,,,,,,,,,3 September 2020,
94,,,,,,,,,,,,,,,,,,,,,6 October 2020,
95,,,,,,,,,,,,,,,,,,,,,18 October 2020,
96,,,,,,,,,,,,,,,,,,,,,24 October 2020,
97,,,,,,,,,,,,,,,,,,,,,5 November 2020,
98,,,,,,,,,,,,,,,,,,,,,16 November 2020,
99,,,,,,,,,,,,,,,,,,,,,21 November 2020,
100,,,,,,,,,,,,,,,,,,,,,25 November 2020,
101,,,,,,,,,,,,,,,,,,,,,6 December 2020,
102,,,,,,,,,,,,,,,,,,,,,13 December 2020,
103,,,,,,,,,,,,,,,,,,,,,19 December 2020,
104,,,,,,,,,,,,,,,,,,,,,8 January 2021,
105,,,,,,,,,,,,,,,,,,,,,20 January 2021,
106,,,,,,,,,,,,,,,,,,,,,24 January 2021,
107,,,,,,,,,,,,,,,,,,,,,4 February 2021,
108,,,,,,,,,,,,,,,,,,,,,16 February 2021,
109,,,,,,,,,,,,,,,,,,,,,4 March 2021,
110,,,,,,,,,,,,,,,,,,,,,11 March 2021,
111,,,,,,,,,,,,,,,,,,,,,14 March 2021,
112,,,,,,,,,,,,,,,,,,,,,24 March 2021,
113,,,,,,,,,,,,,,,,,,,,,7 April 2021,
114,,,,,,,,,,,,,,,,,,,,,23 April 2021,
115,,,,,,,,,,,,,,,,,,,,,29 April 2021,
116,,,,,,,,,,,,,,,,,,,,,4 May 2021,
117,,,,,,,,,,,,,,,,,,,,,9 May 2021,
118,,,,,,,,,,,,,,,,,,,,,15 May 2021,
119,,,,,,,,,,,,,,,,,,,,,26 May 2021,
120,,,,,,,,,,,,,,,,,,,,,3 June 2021,
121,,,,,,,,,,,,,,,,,,,,,6 June 2021,
